func,size,time
C naive -O3,500,0.255501
C naive -O3,500,0.246011
C naive -O3,500,0.247972
C naive -O3,500,0.243048
C naive -O3,500,0.255610
C naive -O3,500,0.243283
C naive -O3,500,0.250480
C naive -O3,500,0.258788
C naive -O3,500,0.256035
C naive -O3,500,0.256606
C naive -O3,750,1.253298
C naive -O3,750,1.240490
C naive -O3,750,1.291903
C naive -O3,750,1.194211
C naive -O3,750,1.168763
C naive -O3,750,1.162906
C naive -O3,750,1.167903
C naive -O3,750,1.163123
C naive -O3,750,1.160968
C naive -O3,750,1.158785
C naive -O3,1000,2.486294
C naive -O3,1000,2.489328
C naive -O3,1000,2.487668
C naive -O3,1000,2.487901
C naive -O3,1000,2.488644
C naive -O3,1000,2.495600
C naive -O3,1000,2.485475
C naive -O3,1000,2.491229
C naive -O3,1000,2.489969
C naive -O3,1000,2.489748
C better -O3,500,0.210884
C better -O3,500,0.206590
C better -O3,500,0.205698
C better -O3,500,0.205887
C better -O3,500,0.207413
C better -O3,500,0.206753
C better -O3,500,0.206330
C better -O3,500,0.206027
C better -O3,500,0.205949
C better -O3,500,0.211324
C better -O3,750,0.717698
C better -O3,750,0.718161
C better -O3,750,0.717978
C better -O3,750,0.718081
C better -O3,750,0.716288
C better -O3,750,0.716005
C better -O3,750,0.718096
C better -O3,750,0.717205
C better -O3,750,0.716993
C better -O3,750,0.719243
C better -O3,1000,1.705007
C better -O3,1000,1.706975
C better -O3,1000,1.705722
C better -O3,1000,1.698369
C better -O3,1000,1.702249
C better -O3,1000,1.697549
C better -O3,1000,1.698065
C better -O3,1000,1.707200
C better -O3,1000,1.705449
C better -O3,1000,1.706014
C blas -O3,500,0.400737
C blas -O3,500,0.399136
C blas -O3,500,0.401126
C blas -O3,500,0.409525
C blas -O3,500,0.400111
C blas -O3,500,0.400157
C blas -O3,500,0.399098
C blas -O3,500,0.400611
C blas -O3,500,0.399037
C blas -O3,500,0.399926
C blas -O3,750,1.390491
C blas -O3,750,1.377103
C blas -O3,750,1.382946
C blas -O3,750,1.374496
C blas -O3,750,1.380325
C blas -O3,750,1.380925
C blas -O3,750,1.390413
C blas -O3,750,1.389551
C blas -O3,750,1.375917
C blas -O3,750,1.382930
C blas -O3,1000,3.289677
C blas -O3,1000,3.307795
C blas -O3,1000,3.307385
C blas -O3,1000,3.309768
C blas -O3,1000,3.311331
C blas -O3,1000,3.328423
C blas -O3,1000,3.289756
C blas -O3,1000,3.307787
C blas -O3,1000,3.297759
C blas -O3,1000,3.291664
C naive -O3,1500,9.001560
C naive -O3,1500,9.048306
C naive -O3,1500,9.051082
C naive -O3,1500,9.073461
C naive -O3,1500,9.066763
C naive -O3,2000,20.661778
C naive -O3,2000,20.648996
C naive -O3,2000,20.640938
C naive -O3,2000,20.638896
C naive -O3,2000,20.696243
C naive -O3,2500,42.629285
C naive -O3,2500,42.615462
C naive -O3,2500,42.642251
C naive -O3,2500,42.660571
C naive -O3,2500,42.661362
C naive -O3,3000,69.964839
C naive -O3,3000,69.920883
C naive -O3,3000,69.904887
C naive -O3,3000,69.933821
C naive -O3,3000,69.915617
C naive -O3,3500,121.612674
C naive -O3,3500,121.287946
C naive -O3,3500,121.508045
C naive -O3,3500,121.429203
C naive -O3,3500,121.431369
C better -O3,1500,5.798041
C better -O3,1500,5.824068
C better -O3,1500,5.730303
C better -O3,1500,5.735619
C better -O3,1500,5.783008
C better -O3,2000,13.636737
C better -O3,2000,13.593630
C better -O3,2000,13.653828
C better -O3,2000,13.601525
C better -O3,2000,13.643077
C better -O3,2500,26.529641
C better -O3,2500,26.468067
C better -O3,2500,26.684705
C better -O3,2500,26.554161
C better -O3,2500,26.662855
C better -O3,3000,46.022048
C better -O3,3000,45.919193
C better -O3,3000,46.140389
C better -O3,3000,46.056844
C better -O3,3000,45.952115
C better -O3,3500,72.976554
C better -O3,3500,72.939253
C better -O3,3500,73.001957
C better -O3,3500,72.945479
C better -O3,3500,72.916219
C blas -O3,1500,11.138125
C blas -O3,1500,11.149475
C blas -O3,1500,11.138093
C blas -O3,1500,11.141090
C blas -O3,1500,11.137749
C blas -O3,2000,26.208177
C blas -O3,2000,25.661697
C blas -O3,2000,25.669944
C blas -O3,2000,25.639213
C blas -O3,2000,25.654619
C blas -O3,2500,50.040740
C blas -O3,2500,50.019646
C blas -O3,2500,49.978109
C blas -O3,2500,49.949171
C blas -O3,2500,49.901313
C blas -O3,3000,86.252235
C blas -O3,3000,86.365209
C blas -O3,3000,86.445860
C blas -O3,3000,86.328962
C blas -O3,3000,86.210041
C blas -O3,3500,136.920472
C blas -O3,3500,136.998727
C blas -O3,3500,136.995327
C blas -O3,3500,136.787328
C blas -O3,3500,137.074943
