func,size,time
julia naive,500,0.42735016
julia better,500,0.21250555
julia blas,500,0.005662108
julia naive,500,0.514854
julia better,500,0.21510036
julia blas,500,0.005638625
julia naive,500,0.5558748
julia better,500,0.20902586
julia blas,500,0.005663417
julia naive,500,0.45751575
julia better,500,0.20706673
julia blas,500,0.006401552
julia naive,500,0.4372857
julia better,500,0.20734704
julia blas,500,0.005694207
julia naive,500,0.4466281
julia better,500,0.2071122
julia blas,500,0.005702753
julia naive,500,0.43856475
julia better,500,0.20886096
julia blas,500,0.005933065
julia naive,500,0.43786755
julia better,500,0.20756826
julia blas,500,0.00632118
julia naive,500,0.44371682
julia better,500,0.20610237
julia blas,500,0.005822938
julia naive,500,0.44134438
julia better,500,0.20800905
julia blas,500,0.005606676
julia naive,1000,3.4585927
julia better,1000,1.7316667
julia blas,1000,0.03824625
julia naive,1000,3.454122
julia better,1000,1.7245567
julia blas,1000,0.03748424
julia naive,1000,3.4677205
julia better,1000,1.7283992
julia blas,1000,0.037822396
julia naive,1000,3.4677815
julia better,1000,1.7251092
julia blas,1000,0.03697801
julia naive,1000,3.4613361
julia better,1000,1.7368487
julia blas,1000,0.037688706
julia naive,1000,3.456341
julia better,1000,1.7337059
julia blas,1000,0.037300672
julia naive,1000,3.4559782
julia better,1000,1.7317694
julia blas,1000,0.037337895
julia naive,1000,3.459186
julia better,1000,1.7325363
julia blas,1000,0.037815884
julia naive,1000,3.4517188
julia better,1000,1.7307321
julia blas,1000,0.037374288
julia naive,1000,3.4671478
julia better,1000,1.7345448
julia blas,1000,0.037218597
julia naive,2000,27.817726
julia better,2000,14.63129
julia blas,2000,0.64718795
julia naive,2000,28.000782
julia better,2000,13.774385
julia blas,2000,0.4584856
julia naive,2000,27.834068
julia better,2000,13.805758
julia blas,2000,0.46796906
julia naive,2000,27.84647
julia better,2000,13.782781
julia blas,2000,0.4582675
julia naive,2000,27.799494
julia better,2000,13.837065
julia blas,2000,0.48868823
julia naive,2000,27.864548
julia better,2000,13.8980465
julia blas,2000,0.45736596
julia naive,2000,27.773735
julia better,2000,13.911689
julia blas,2000,0.469111
julia naive,2000,27.753485
julia better,2000,13.7881565
julia blas,2000,0.45829922
julia naive,2000,27.84761
julia better,2000,13.953447
julia blas,2000,0.46812102
julia naive,2000,27.818275
julia better,2000,13.856634
julia blas,2000,0.457351
julia naive,3000,93.019325
julia better,3000,46.63076
julia blas,3000,1.2042753
julia naive,3000,92.82252
julia better,3000,46.380543
julia blas,3000,1.2052058
julia naive,3000,92.08377
julia better,3000,46.357166
julia blas,3000,1.2040493
julia naive,3000,92.705666
julia better,3000,46.29272
julia blas,3000,1.2009029
julia naive,3000,92.047386
julia better,3000,46.50037
julia blas,3000,1.2025938
julia naive,4000,240.43945
julia better,4000,109.71041
julia blas,4000,3.068372
julia naive,4000,237.2364
julia better,4000,107.29098
julia blas,4000,2.9377568
julia naive,4000,229.7154
julia better,4000,105.36212
julia blas,4000,2.898088
julia naive,4000,224.88408
julia better,4000,105.28022
julia blas,4000,2.9270535
julia naive,4000,231.68535
julia better,4000,105.14974
julia blas,4000,2.930611
julia naive,5000,424.83173
julia better,5000,205.05286
julia blas,5000,4.94674
julia naive,5000,428.73727
julia better,5000,213.9977
julia blas,5000,5.205223
julia naive,5000,442.68155
julia better,5000,213.76234
julia blas,5000,5.1425385
julia naive,5000,444.3887
julia better,5000,213.71602
julia blas,5000,5.18382
julia naive,5000,443.05173
julia better,5000,214.30086
julia blas,5000,5.120307
