func,size,time
julia naive,500,0.45621777
julia better,500,0.21717918
julia blas,500,0.00729024
julia naive,500,0.4399306
julia better,500,0.20909376
julia blas,500,0.005751214
julia naive,500,0.44555113
julia better,500,0.20979781
julia blas,500,0.006415375
julia naive,500,0.43907684
julia better,500,0.21431373
julia blas,500,0.005936275
julia naive,500,0.43744266
julia better,500,0.209648
julia blas,500,0.005704677
julia naive,500,0.44012702
julia better,500,0.20901349
julia blas,500,0.005716967
julia naive,500,0.43640774
julia better,500,0.2116774
julia blas,500,0.006433068
julia naive,500,0.4505949
julia better,500,0.20954782
julia blas,500,0.005745699
julia naive,500,0.44285935
julia better,500,0.21090388
julia blas,500,0.005778967
julia naive,750,1.4737377
julia better,750,0.7441342
julia blas,750,0.018913284
julia naive,750,1.4818882
julia better,750,0.7405278
julia blas,750,0.016662497
julia naive,750,1.4832667
julia better,750,0.73190165
julia blas,750,0.01767262
julia naive,750,1.4773116
julia better,750,0.73159635
julia blas,750,0.016610457
julia naive,750,1.477851
julia better,750,0.7378312
julia blas,750,0.017372511
julia naive,750,1.4849261
julia better,750,0.7309822
julia blas,750,0.016764116
julia naive,750,1.4766511
julia better,750,0.7324915
julia blas,750,0.017319983
julia naive,750,1.4649667
julia better,750,0.7342933
julia blas,750,0.016827155
julia naive,750,1.4720949
julia better,750,0.7432529
julia blas,750,0.017343907
julia naive,750,1.4743365
julia better,750,0.74371356
julia blas,750,0.016644487
julia naive,1000,3.5303552
julia better,1000,1.7369595
julia blas,1000,0.039383624
julia naive,1000,3.5715742
julia better,1000,1.7404695
julia blas,1000,0.040246
julia naive,1000,3.5835335
julia better,1000,1.7380302
julia blas,1000,0.038727507
julia naive,1000,3.5724409
julia better,1000,1.7321129
julia blas,1000,0.041269317
julia naive,1000,3.5426877
julia better,1000,1.736846
julia blas,1000,0.03885223
julia naive,1000,3.5731735
julia better,1000,1.745143
julia blas,1000,0.040424775
julia naive,1000,3.494126
julia better,1000,1.7360402
julia blas,1000,0.038757414
julia naive,1000,3.5661867
julia better,1000,1.7866688
julia blas,1000,0.04025329
julia naive,1000,3.559544
julia better,1000,1.7394967
julia blas,1000,0.038768057
julia naive,1000,3.575704
julia better,1000,1.73303
julia blas,1000,0.04116353
julia naive,1500,11.786585
julia better,1500,5.8502603
julia blas,1500,0.15757707
julia naive,1500,11.73525
julia better,1500,5.874083
julia blas,1500,0.15091042
julia naive,1500,11.676089
julia better,1500,5.86636
julia blas,1500,0.15622705
julia naive,1500,12.010366
julia better,1500,5.8695397
julia blas,1500,0.1507299
julia naive,1500,11.74051
julia better,1500,5.8763213
julia blas,1500,0.15701546
julia naive,2000,28.462751
julia better,2000,13.998324
julia blas,2000,0.47348282
julia naive,2000,28.468317
julia better,2000,13.941972
julia blas,2000,0.46096733
julia naive,2000,28.554852
julia better,2000,14.04837
julia blas,2000,0.476432
julia naive,2000,28.046099
julia better,2000,13.972893
julia blas,2000,0.46213233
julia naive,2000,27.919939
julia better,2000,13.890435
julia blas,2000,0.47305277
julia naive,2500,54.182987
julia better,2500,27.24899
julia blas,2500,0.70708305
julia naive,2500,54.36202
julia better,2500,27.201654
julia blas,2500,0.7055179
julia naive,2500,54.343613
julia better,2500,27.048359
julia blas,2500,0.70660895
julia naive,2500,54.09
julia better,2500,26.999304
julia blas,2500,0.70310855
julia naive,2500,54.19749
julia better,2500,27.224138
julia blas,2500,0.7070305
julia naive,3000,94.20957
julia better,3000,47.22849
julia blas,3000,1.2980564
julia naive,3000,94.50301
julia better,3000,46.936794
julia blas,3000,1.2962756
julia naive,3000,95.23377
julia better,3000,46.65526
julia blas,3000,1.2879236
julia naive,3000,93.88946
julia better,3000,46.821423
julia blas,3000,1.2878246
julia naive,3000,93.15655
julia better,3000,46.700882
julia blas,3000,1.2865936
julia naive,3500,155.81448
julia better,3500,74.573944
julia blas,3500,1.9314123
julia naive,3500,156.28801
julia better,3500,74.349495
julia blas,3500,1.9351928
julia naive,3500,154.76724
julia better,3500,73.639565
julia blas,3500,1.9346094
julia naive,3500,152.83832
julia better,3500,73.47983
julia blas,3500,1.935678
julia naive,3500,152.81915
julia better,3500,73.88404
julia blas,3500,1.9352833
